brand,ingredient,count,share
BOSCIA,Butylene Glycol,24,0.034482758620689655
BOSCIA,Glycerin,20,0.028735632183908046
BOSCIA,Simmondsia Chinensis (Jojoba) Seed Extract,20,0.028735632183908046
BOSCIA,Water,18,0.02586206896551724
BOSCIA,Epilobium Angustifolium Flower/Leaf/Stem Extract,16,0.022988505747126436
BOSCIA,Polysorbate 20,15,0.021551724137931036
BOSCIA,1,13,0.01867816091954023
BOSCIA,2-Hexanediol,12,0.017241379310344827
BOSCIA,Caprylyl Glycol,9,0.01293103448275862
BOSCIA,Montmorillonite,9,0.01293103448275862
BOSCIA,Pelargonium Graveolens Flower Oil,9,0.01293103448275862
BOSCIA,Pentylene Glycol,9,0.01293103448275862
BOSCIA,Diglycerin,8,0.011494252873563218
BOSCIA,Glycereth-26,8,0.011494252873563218
BOSCIA,Hydroxyacetophenone,8,0.011494252873563218
