brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
KIEHL'S SINCE 1851,2,39.0,4.3,6.0,8,0.533,1.041,1,2.004,4,"Water, Phenoxyethanol, Glycerin",6.5
OLEHENRIKSEN,2,34.0,4.4,11.0,9,0.6,0.98,1,1.843,4,"Phenoxyethanol, Water, Glycerin",3.09
DR ROEBUCK’S,2,28.0,4.35,7.0,4,0.267,0.968,0,4.36,6,"Glycerin, Caprylyl Glycol, Water",4.0
FIRST AID BEAUTY,4,31.0,4.28,5.75,8,0.533,0.949,0,2.206,4,"Glycerin, Water, Phenoxyethanol",5.39
PHILOSOPHY,2,36.0,4.65,2.0,7,0.467,0.947,0,1.671,4,"Glycerin, Water, Phenoxyethanol",18.0
LANCÔME,3,29.67,4.53,3.67,5,0.333,0.947,0,1.853,5,"Water, Glycerin, Phenoxyethanol",8.09
ORIGINS,7,14.71,4.13,4.71,8,0.533,0.935,0,1.928,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",3.12
CAUDALIE,2,39.0,4.35,5.5,6,0.4,0.904,0,1.983,4,"Water, Caprylyl Glycol, Potassium Sorbate",7.09
FARMACY,3,16.67,4.53,8.33,6,0.4,0.87,1,1.3,2,"Glycerin, Water, Caprylic/Capric Triglyceride",2.0
LANEIGE,4,19.0,4.47,3.25,6,0.4,0.867,0,1.687,3,"Water, Ethylhexylglycerin, Glycerin",5.85
BELIF,2,36.0,4.35,6.0,5,0.333,0.849,0,2.328,7,"Water, Glycerin, Butylene Glycol",6.0
BOSCIA,9,24.89,4.04,6.33,4,0.267,0.84,0,2.08,3,"Butylene Glycol, Glycerin, Water",3.93
DR. JART+,25,11.56,4.1,4.96,6,0.4,0.832,0,1.636,5,"Butylene Glycol, Glycerin, Water",2.33
TOO COOL FOR SCHOOL,5,12.8,4.18,4.2,8,0.533,0.809,0,2.717,7,"Water, Butylene Glycol, Glycerin",3.05
SATURDAY SKIN,2,6.0,4.45,4.0,3,0.2,0.788,0,1.839,3,"Glycerin, Water, Butylene Glycol",1.5
SEPHORA COLLECTION,16,7.56,4.41,4.56,8,0.533,0.765,0,2.393,8,"Glycerin, Phenoxyethanol, Butylene Glycol",1.66
FOREO,6,15.67,3.08,1.0,0,0.0,,0,,0,,15.67
