Label,ingredients,count,share
Eye cream,Water,159,0.021411257743064908
Eye cream,Glycerin,158,0.02127659574468085
Eye cream,Butylene Glycol,130,0.017506059789927284
Eye cream,Phenoxyethanol,124,0.016698087799622948
Eye cream,Dimethicone,93,0.01252356584971721
Eye cream,Sodium Hyaluronate,82,0.011042283867492593
Eye cream,Ethylhexylglycerin,74,0.009964987880420145
Eye cream,Tocopheryl Acetate,73,0.00983032588203609
Eye cream,Caffeine,69,0.009291677888499866
Eye cream,Carbomer,66,0.008887691893347698
Eye cream,Caprylyl Glycol,64,0.008618367896579585
Eye cream,Xanthan Gum,64,0.008618367896579585
Eye cream,Caprylic/Capric Triglyceride,61,0.008214381901427417
Eye cream,Mica,53,0.007137085914354969
Eye cream,Tocopherol,52,0.007002423915970913
Eye cream,Citric Acid,51,0.006867761917586857
Eye cream,Disodium Edta,48,0.006463775922434689
Eye cream,Glyceryl Stearate,48,0.006463775922434689
Eye cream,Squalane,47,0.006329113924050633
Eye cream,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,46,0.0061944519256665765
Eye cream,Potassium Sorbate,44,0.005925127928898465
Eye cream,Sodium Hydroxide,44,0.005925127928898465
Eye cream,Silica,43,0.005790465930514408
Eye cream,Sodium Benzoate,42,0.005655803932130353
Eye cream,Cetearyl Alcohol,41,0.005521141933746297
Eye cream,Lecithin,40,0.00538647993536224
Eye cream,Cetyl Alcohol,38,0.005117155938594129
Eye cream,Disodium EDTA,37,0.004982493940210072
Eye cream,Propanediol,37,0.004982493940210072
Eye cream,Pentylene Glycol,35,0.0047131699434419605
Eye cream,Cyclopentasiloxane,34,0.004578507945057905
Eye cream,Polysorbate 20,34,0.004578507945057905
Eye cream,Palmitoyl Tetrapeptide-7,33,0.004443845946673849
Eye cream,Chlorphenesin,32,0.0043091839482897925
Eye cream,Adenosine,31,0.004174521949905737
Eye cream,Panthenol,30,0.004039859951521681
Eye cream,Alcohol,29,0.0039051979531376244
Eye cream,Steareth-20,29,0.0039051979531376244
Eye cream,1,27,0.0036358739563695126
Eye cream,Camellia Sinensis Leaf Extract,27,0.0036358739563695126
Eye cream,Polysorbate 60,27,0.0036358739563695126
Eye cream,Butyrospermum Parkii (Shea) Butter,26,0.0035012119579854563
Eye cream,Algae Extract,25,0.0033665499596014004
Eye cream,2-Hexanediol,24,0.0032318879612173446
Eye cream,Sodium Citrate,24,0.0032318879612173446
Eye cream,Trehalose,24,0.0032318879612173446
Eye cream,Bht,23,0.0030972259628332883
Eye cream,Cucumis Sativus (Cucumber) Fruit Extract,23,0.0030972259628332883
Eye cream,Helianthus Annuus (Sunflower) Seed Oil,23,0.0030972259628332883
Eye cream,Hydrogenated Lecithin,23,0.0030972259628332883
